train_id,name,item_condition_id,brand_name,price,shipping,item_description,category_1,category_2,category_3,log_price,ship_chr,brand,model,year,origin_price ($),origin_price_sub_min,origin_price_sub_median,memory(GB),CPU (type),new_cpu,CPU (GHz),OS version,screen inch,storage (GB),cellular (YN),accessories (YN),accessories,locked (YN),etc,cpu_cnt,GHz,ship_fee_included
8230,Samsung galaxy tab 2 7.0,3,Samsung,41,0,Lightly used comes with charger and case works 8gb but can use a sd card for extra memory I got the original box for it as well,Electronics,Computers & Tablets,iPad,3.713572067,paid,Samsung,tab 2,2012.0,250,250.0,250.0,1.0,Dual Core,dual core,1.0 GHz,Android 4.0.3,7.0,8.0,N,Y,charger \ case,N,,2.0,1.0,Yes
8698,Tab,3,Samsung,25,1,Samsung galaxy tab 3 lite Wifi edition Storage 8gb Android 4.2.2 **Be sure to read my bio before buying. Thank you**,Electronics,Computers & Tablets,iPad,3.218875825,free,Samsung,tab 3 lite,2015.0,159.99,159.99,159.99,1.0,Quad core,quad core,1.3 GHz,Android 4.2.2 ,7.0,8.0,N,N,,N,,4.0,1.3,No
29040,Samsung Galaxy Tab 4,2,Samsung,84,0,"White Sprint New. No scratches, chips, dents. Original screen",Electronics,Computers & Tablets,iPad,4.430816799,paid,Samsung,Tab 4,2014.0,199.99,199.99,199.99,1.5,Quad core,quad core,1.2 GHz,Android 4.4.2,7.0,8.0,N,N,,N,,4.0,1.2,Yes
35230,Samsung Galaxy Tablet,3,Samsung,200,1,"Samsung Galaxy Tab S 10.5 SM-T800 Works with no issues Beautiful Display Cosmetic flaw on corner nothing a case won't hide I bought an IPad Pro that's why I'm selling Android tablet * CPU: Octa-Core, 1.9GHz, 1.3GHz * Display: Super AMOLED, 2560 x 1600 (WQXGA) * Resolution: CMOS 8.0 MP FIRM ON PRICE FREE SHIPPING",Electronics,Computers & Tablets,iPad,5.298317367,free,Samsung,Tab S,2014.0,499,499.0,499.0,3.0,Octa core,octa core,4x1.9 GHz Cortex-A15 & 4x1.3 GHz Cortex-A7,Android 4.4.2,10.5,16.0,N,N,,N,,8.0,1.6,No
38546,Samsung Tab 4 7.0,4,Samsung,30,1,"Great tablet thought cosmetically it has its flaws. As the pictures show, there are scuffs along the edges but cannot seen in a case. The volume keys are missing as well, but are accessible, if needed, by using an object to press the buttons down. But there are volume settings you can use to.",Electronics,Computers & Tablets,iPad,3.401197382,free,Samsung,Tab 4,2014.0,199.99,199.99,199.99,1.5,Quad core,quad core,1.2 GHz,Android 4.4.2,7.0,8.0,N,N,,N,,4.0,1.2,No
41453,Samsung Galaxy Tab 2 Gray ships free,3,Samsung,50,1,"Model GT P6210 16 gb 7"" screen. Like new condition. Ships free in one day. Get it in 3-4 days",Electronics,Computers & Tablets,iPad,3.912023005,free,Samsung,Tab 2,2012.0,250,250.0,250.0,1.0,Dual Core,dual core,1.0 GHz,Android 4.0.3,7.0,16.0,N,N,,N,,2.0,1.0,No
42933,Samsung galaxy tab 4 16gb tablet,2,Samsung,118,0,"Samsung tab 4 with t-mobile can be used on phone plan also comes with purple case, can use Wifi if you don't want on a phone plan to use as normal tablet",Electronics,Computers & Tablets,iPad,4.770684623999999,paid,Samsung,tab 4,2014.0,199.99,199.99,199.99,1.5,Quad core,quad core,1.2 GHz,Android 4.4.2,7.0,16.0,N,Y,purple case,N,,4.0,1.2,Yes
52151,Galaxy Tab 2 10 inches,3,Samsung,96,1,"Used, few scratches. Comes with a case and adapter.",Electronics,Computers & Tablets,iPad,4.5643481910000006,free,Samsung,Tab 2,2012.0,399.99,399.99,399.99,1.0,Dual Core,dual core,1.0 GHz,Android 4.0.3,10.1,16.0,N,Y,case \ adapter,N,,2.0,1.0,No
71195,Galaxy Tab A 7.0,2,Samsung,55,1,Tablet comes with case and charger. Bought for my daughter and she never used it.. Feel free to ask any questions.,Electronics,Computers & Tablets,iPad,4.007333185,free,Samsung,Tab A,2016.0,329,329.0,329.0,1.5,Quad core,quad core,1.3 GHz,Android 5.1.1,7.0,8.0,N,Y,case \ charger,N,,4.0,1.3,No
95786,Galaxy tab s2,1,Samsung,216,0,This is the galaxy tab s2 its in mint condition they have never been used I'm asking for [rm] but price is negotiable all the specs are in the 2nd picture RESERVED!!!!,Electronics,Computers & Tablets,iPad,5.375278408,paid,Samsung,tab s2,2015.0,399,399.0,399.0,3.0,Octa Core,octa core,4x1.9 GHz & 4x1.3 GHz ,Android 5.0.2,8.0,16.0,N,N,,N,,8.0,1.6,Yes
99900,Samsung tab 2 tablet 10.1,3,Samsung,65,1,Works great Scratches on back No cracks on screen Comes with charger,Electronics,Computers & Tablets,iPad,4.17438727,free,Samsung,tab 2,2012.0,399.99,399.99,399.99,1.0,Dual core,dual core,1.0 GHz,Android 4.0.3,10.1,16.0,N,Y,charger,N,,2.0,1.0,No
107584,Samsung Tab 3 (Sprint) 16GB,3,Samsung,36,0,"Black Samsung Tab 3 Pros -Clean Imei (990004349235303) -Sprint activation READY (UNLOCKED) -16GB -7.0"" Screen -Will include a GENERIC charging cord Cons -Missing original charging cord -Small mark on device (normal wear and tear) Questions? Please feel free to message me. Fast shipping!!!",Electronics,Computers & Tablets,iPad,3.583518938,paid,Samsung,Tab 3 ,2014.0,199,199.0,199.0,1.0,Dual core,dual core,1.2 GHz,Android 4.2,7.0,16.0,N,N,,N,,2.0,1.2,Yes
112653,Galaxy Tab 4 (Black),3,Samsung,80,1,- Comes with box - 8gb -used only about twice -no flaws ( I just never got into using a Samsung) - Comes with case that cost me 25$ alone ... - comes with original charger (fully charged ),Electronics,Computers & Tablets,iPad,4.382026635,free,Samsung,Tab 4,2014.0,199.99,199.99,199.99,1.5,Quad core,quad core,1.2 GHz,Android 4.4.2,7.0,8.0,N,Y,charger,N,,4.0,1.2,No
118571,Samsung Galaxy Tab (for parts or repair),4,Samsung,16,0,"Samsung Galaxy Tab 3 SM-T217S 16GB, Wi-Fi + 4G (Sprint), 7in - Black, Clean ESN When you plugged in said full charge but can get it to turn it on I think is the power button needs to be replaced but I am not 100% sure and I am selling it as is!!",Electronics,Computers & Tablets,iPad,2.772588722,paid,Samsung,Tab 3,2014.0,199,199.0,199.0,1.0,Dual core,dual core,1.2 GHz,Android 4.2,7.0,16.0,Y,N,,N,,2.0,1.2,Yes
122319,??Galaxy Tab 3,2,Samsung,59,0,"Galaxy Tab 3 by Samsung 7.0"" | 8 GB | Color: White Excellent Condition | Barely used Comes with box and charging cable Tags: Apple sony tech Samsung android iPad tablet gadget Microsoft",Electronics,Computers & Tablets,iPad,4.077537444,paid,Samsung,Tab 3,2014.0,199,199.0,199.0,1.0,Dual core,dual core,1.2 GHz,Android 4.2,7.0,8.0,N,Y,Charging cable,N,,2.0,1.2,Yes
165280,Samsung Galaxy Tablet 3 Lite,3,Samsung,56,0,"Good working condition. Normal wear, nothing that affects the functioning of the tablet. 8GB memory & 16GB SD Card Included.",Electronics,Computers & Tablets,iPad,4.025351691,paid,Samsung,Tablet 3 Lite,2015.0,159,159.0,159.0,1.0,Quad core,quad core,1.3 GHz,Android 4.4.4,7.0,8.0,N,Y,16 GB SD card,N,,4.0,1.3,Yes
165325,Samsung galaxy tab,3,Samsung,61,0,"Samsung galaxy tab SCH -l800 2GB ,wi-fi +3G (Verizon) 7in black Comes with charger + SD card 16GB Like new condition very clean",Electronics,Computers & Tablets,iPad,4.110873863999998,paid,Samsung,Tab ,2010.0,600,600.0,600.0,0.512,,,1.0 GHz,Android 2.2,7.0,16.0,Y,Y,Charger,N,,,1.0,Yes
